Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-GARCIA, KAMI",54858717,Beautiful darkness /,29,8/13/2013,,,x,,x,,,,,,,,,,,,,,,,,x
"YA-ABAWI, ATIA",55986129,The secret sky /,10,8/28/2014,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ABAWI, ATIA",70010731,A land of permanent goodbyes /,9,1/30/2018,,x,,,,,x,,,,,,,,,,,,,x,,x
"YA-ABBOTT, TONY",70471990,Junk Boy,0,10/20/2020,,,,,x,,,,x,x,,,x,,,,,,,,,
"YA-ABDEL-FATTAH, RANDA",46381760,Does my head look big in this? /,98,5/25/2007,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ABDEL-FATTAH, RANDA",57968463,The lines we cross /,8,5/24/2017,,x,,,,,x,,,x,,,x,,,,,x,,x,,x
"YA-ACEVEDO, ELIZABETH",65955007,The poet X /,14,3/6/2019,x,,x,,,,x,,,,,,x,,,,,,,,,x
"YA-ACEVEDO, ELIZABETH",70271614,With the fire on high /,17,5/22/2019,x,,x,,,,,,,x,,,x,,,,,,,,,x
"YA-ACEVEDO, ELIZABETH",71716997,Clap when you land /,5,5/6/2020,x,,x,,,,x,,x,x,,,x,,,,,x,,,,x
"YA-ACEVES, FRED",60633245,The closest I've come /,8,11/17/2017,x,,x,,,,,,,x,,,x,,,,,,,,,x
"YA-ACEVES, FRED",70442132,The new David Espinoza /,7,2/13/2020,,,x,,,,,,,,,,,,,x,,,,,,x
"YA-ACOSTA, DANIEL",70192687,Iron river /,2,11/13/2018,,,x,,,,,,,,,,x,,,,,,,,,x
"YA-ADAMS, DOUGLAS",54929161,The restaurant at the end of the universe /,45,11/18/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS",57614174,"So long, and thanks for all the fish",17,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS #1",57612681,The hitchhiker's guide to the galaxy /,39,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADAMS, DOUGLAS #3",48670152,"Life, the universe, and everything /",45,1/30/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-ADEYEMI, TOMI",70458633,Children of virtue and vengeance /,4,12/3/2019,x,,,,,,,x,,x,,,,,,,,,,,,x
"YA-ADEYEMI, TOMI #1",70142039,Children of blood and bone /,30,4/6/2018,x,,,,,,,x,,x,,,,,,,,,,,,x
"YA-ADRIAN, EMILY",56978083,Like it never happened /,19,6/3/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHDIEH, RENEE",70272182,The beautiful /,14,10/15/2019,,x,,,x,,,,,x,,,,,,,,,,,,x
"YA-AHDIEH, RENEE",71700769,The damned /,2,8/12/2020,,x,,,x,,,,,x,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #1",57983611,The wrath & the dawn /,22,6/5/2017,,x,,,,,,,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #1",65022956,Flame in the mist /,25,9/6/2017,,x,,,,,,x,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #2",57693699,The rose and the dagger /,24,5/19/2016,,x,,,,,,,,,,,,,,,,,,,,x
"YA-AHDIEH, RENEE #2",70191465,Smoke in the sun /,12,6/29/2018,,x,,,,,,x,,,,,,,,,,,,,,x
"YA-AHERN, CECELIA #1",65007643,Flawed /,16,7/26/2017,x,,,,x,,,,,,,,,,,,,,,,,
"YA-AHERN, CECELIA #2",65007619,Perfect /,19,7/26/2017,x,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMADI, ARVIN",70263363,Girl gone viral /,12,6/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMADI, ARVIN",70479043,How It All Blew Up,1,9/23/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-AHMED, SAMIRA",70011598,"Love, hate & other filters /",13,1/30/2018,,x,,,,,x,,,,,,,,,,,x,,x,,x
"YA-AHMED, SAMIRA",70244942,Internment /,14,3/21/2019,,x,,,,,x,,,,,,,,,,,x,,x,,x
"YA-AHMED, SAMIRA",71719025,"Mad, bad & dangerous to know /",3,4/18/2020,,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-ALAMEDA, COURTNEY",70445267,Seven deadly shadows /,5,1/31/2020,,x,,,,,,,,,,,,,,,,,,,,x
"YA-ALBERT, MELISSA",70009618,The Hazel Wood /,20,1/30/2018,,,,,x,,,,,,x,,,,,,,,,,,
"YA-ALBERT, MELISSA",71704829,The night country /,4,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-ALBERTALLI, BECKY",57739633,Simon vs. the Homo Sapiens agenda /,56,10/15/2015,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-ALBERTALLI, BECKY",70218748,Leah on the offbeat /,26,6/7/2018,,,,,x,,,,x,,,,,,,,,,,,,x
